codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
16842,,POPA-1-1/2,,,,,,,,,,,False,baja,True,,False
16843,,POPA-3,,,,,,,,,,,False,baja,True,,False
16844,,POPA-6,,,,,,,,,,,False,baja,True,,False
16845,,POLE-400,,,,,,,,,,,False,baja,True,,False
16846,,POLE-600,,,,,,,,,,,False,baja,True,,False
16847,,POLE-800,,,,,,,,,,,False,baja,True,,False
16848,,POLE-1000,,,,,,,,,,,False,baja,True,,False
16850,,BOMIN-24,"Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales, 24 kg (53 lb) 28 × 40 cm","Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales",,,24 kg (53 lb) 28 × 40 cm,3550,4300,4300,4300,,True,alta,False,186,True
16860,,MTT-7,"Martillo tapicero, 5⁄8""",Martillo tapicero,,,"5⁄8""",165,180,200,200,,True,alta,False,283,True
16861,,ML-24,"Martillo ladrillero, 1""",Martillo ladrillero,,,"1""",225,245,270,270,,True,alta,False,283,True
16864,,MACE-11,,,,,"1 q⁄sx""",165,180,200,200,,False,media,True,283,True
16865,,MAFA-11,,,,,"1 q⁄sx""",165,180,200,200,,False,media,True,283,True
16866,,BOMIN-5,"Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales, 5 kg (11 lb) 18 × 30 cm","Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales",,,5 kg (11 lb) 18 × 30 cm,2350,2850,2850,2850,,True,alta,False,186,True
16867,,BOMIN-10,"Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales, 10 kg (22 lb) 23 × 30 cm","Bombas inyectoras Bomba inyectora de grasa, neumática , 12 kg de grasa, manuales",,,10 kg (22 lb) 23 × 30 cm,2700,3250,3250,3250,,True,alta,False,186,True
16870,,MATE-11,,,,,"1 o⁄sx""",165,180,200,200,,False,media,True,283,True
16871,,ESRE-1/4N,"Rectificador i|v"" , 600 W","Rectificador i|v"" , 600 W",,,,1100,1150,1200,1200,,True,alta,True,244,True
16872,,MADE-11,,,,,"1 o⁄sx""",165,180,200,200,,False,media,True,283,True
16873,,CB-ESRE-1/4N,,,,,,,,,,,False,baja,True,,False
16886,,TPN-875-2,,,,,0.5 kg,815,895,990,990,,False,media,True,105,True
16889,,TPN-776X-2,,,,,4 kg,3900,4300,4750,4750,,False,media,True,104,True
16920,,SOP-200,"Soplete de latón con manguera de 2 m, punta pol o|z""","Soplete de latón con manguera de 2 m, punta pol o|z""",,,,515,565,625,625,,True,alta,False,366,True
16923,,DESO-8,Desoldador de succión,Desoldador de succión,,,,78,86,96,96,,True,alta,False,364,True
16924,,RET-GRUPO-01,para desmalezadoras y desbrozadoras con motor a gasolina,para desmalezadoras y desbrozadoras con motor a gasolina,,,,55,60,66,66,,True,alta,False,269,True
16925,,TAP-GRUPO-01,,código contra página,,,269,,,,,,False,baja,True,,True
16926,,REP-GRUPO-01,,código contra página,,,269,,,,,,False,baja,True,,True
16927,,RET-GRUPO-02,para desmalezadoras y desbrozadoras con motor a gasolina,para desmalezadoras y desbrozadoras con motor a gasolina,,,,55,60,66,66,,True,alta,False,269,True
