codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
45431,,PVC-613,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45432,,PVC-601,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45433,,PVC-602,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45434,,PVC-603,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45435,,PVC-971,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45436,,PVC-972,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45437,,PVC-973,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45438,,CAME-75,,t,,,Acero inox. 75 cm 2 4.9 kg,1700,1875,2075,2075,,False,media,True,534,True,descripcion_ambigua;extraccion_ambigua
45439,,CAME-50,,t,,,Acero inox. 50 cm 2 4.1 kg,1450,1600,1750,1750,,False,media,True,534,True,descripcion_ambigua;extraccion_ambigua
45440,,CAME-75M,,t,,,Negro 75 cm 2 4.9 kg,1700,1875,2075,2075,,False,media,True,534,True,descripcion_ambigua;extraccion_ambigua
45441,,CAME-50M,,t,,,Negro 50 cm 2 4.1 kg,1450,1600,1750,1750,,False,media,True,534,True,descripcion_ambigua;extraccion_ambigua
45458,,CV-366,"Tapón de PPR 2"", FOSET",Tapones,FOSET TERMOFLOW,Tubos y conexiones de PPR,2 63 4 88,45,50,55,55,,True,alta,True,509,True,discrepancia_descripcion
45461,,CV-566,"Codo 90° PPR, 2"", FOSET",Codos,FOSET TERMOFLOW,Tubos y conexiones de PPR,2 2 63 63 4,73,80,88,88,,True,alta,True,509,True,discrepancia_descripcion
45476,,RD-41,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45478,,RD-51,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45480,,RD-62,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45481,,RD-61,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45482,,RD-71,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45483,,RD-72,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45485,,RD-82,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45487,,RD-92,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45497,,AWC-45OB,,»,,,Blanco,300,360,360,360,,False,media,True,531,True,descripcion_ambigua;extraccion_ambigua
45498,,LED-T8361PO,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45510,,LED-T836O,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45511,,MP-048P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45512,,MP-050P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45513,,MP-060P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45514,,FP-317P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45515,,FP-318P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45516,,FP-319P,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
