codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
20525,CTR-40P,"Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho, 40 m 12 72","Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho",40 m 12 72,,19,93,alta,False,True
20526,CCA-150P,"Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho, 150 m 6 48","Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho",150 m 6 48,,55,93,alta,False,True
20527,CTR-150P,"Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho, 150 m 6 60","Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho",150 m 6 60,,55,93,alta,False,True
20528,CDU-10P,"Cintas para ducto, 10 m 6 60",Cintas para ducto,10 m 6 60,,32,92,alta,False,True
20529,CDU-30P,"Cintas para ducto, 30 m 4 40",Cintas para ducto,30 m 4 40,,87,92,alta,False,True
20530,CDU-50P,"Cintas para ducto, 50 m 4 40",Cintas para ducto,50 m 4 40,,130,92,alta,False,True
20595,MT-16P,"Martillos tubulares, 16 y 20 oz, 16 oz 1 1⁄8"" [] (33 cm)","Martillos tubulares, 16 y 20 oz","16 oz 1 1⁄8"" [] (33 cm)",,130,280,alta,False,True
20596,MTR-16P,"Martillos tubulares, 16 y 20 oz, 16 oz 1 1⁄8"" [] (33 cm)","Martillos tubulares, 16 y 20 oz","16 oz 1 1⁄8"" [] (33 cm)",,130,280,alta,False,True
20597,MTR-20P,"Martillos tubulares, 16 y 20 oz","Martillos tubulares, 16 y 20 oz","20 oz 1 1⁄v"" [a (43 cm)",,152,280,alta,False,True
20631,SUS-CASP,,G,NA,,55,326,media,True,False
20668,MSK-12P,"uso general, 50 m 3, 12 mm 24","uso general, 50 m 3",12 mm 24,,21,93,alta,False,True
20669,MSK-34P,"uso general, 50 m 3, 18 mm 24","uso general, 50 m 3",18 mm 24,,30,93,alta,False,True
20671,MSK-1-12P,"uso general, 50 m 3, 36 mm 12","uso general, 50 m 3",36 mm 12,,55,93,alta,False,True
20703,JBAV-5P,,,,,130,64,media,True,False
2111,,"Mecánica Guantes para mecánico, palma de carnaza sintética , para mujer","Mecánica Guantes para mecánico, palma de carnaza sintética , para mujer",,,,335,baja,True,False
2120,RUA-0,"Lijas para plomero, en rollo","Lijas para plomero, en rollo",,,340,197,alta,False,True
2121,,"Mecánica Guantes para mecánico, palma de carnaza sintética y poliuretano","Mecánica Guantes para mecánico, palma de carnaza sintética y poliuretano",,,,335,baja,True,False
21379,JDT-2TP,Dúo de desarmadores tipo trompo mango de PVC,Dúo de desarmadores tipo trompo mango de PVC,,,47,142,alta,False,True
21395,,"Juego de 8 llaves torx tipo navaja, cuerpo de lámina, %#+»8!","Juego de 8 llaves torx tipo navaja, cuerpo de lámina",%#+»8!,,95,217,baja,True,False
2141,CaraCterístiCas:,,,,,,336,baja,True,False
2142,,"poliéster con recubrimiento de nitrilo, alta sensibilidad, 4131","poliéster con recubrimiento de nitrilo, alta sensibilidad",4131,,,337,baja,True,False
21454,VER-6P,"Calibradores vernier escolares, acero","Calibradores vernier escolares, acero",,,87,79,alta,False,True
21455,VER-6PX,"Calibradores vernier escolares, acero","Calibradores vernier escolares, acero",,,95,79,alta,False,True
21456,DR-316X3TP,"planos , mango de PVC, k|sx 6 1⁄2"" × 3""","planos , mango de PVC","k|sx 6 1⁄2"" × 3""",,26,142,alta,False,True
21457,DR-316X6TP,"planos , mango de PVC, k|sx 9 1⁄8"" × 6""","planos , mango de PVC","k|sx 9 1⁄8"" × 6""",,33,142,alta,False,True
