codigo,codigo_barras,clave,descripcion,marca,categoria
43187,,BR-200,"Bisagra rectangular 2 x 1-1/2"", acero natural, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43458,,CEPO-12R,"Cerradura tipo oval para recámara, latón brillante, HERMEX",HERMEX,Cerraduras de pomo
43081,,CASE-35,"Caja de seguridad electrónica, mediana, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
55938,,ATO-100,"Atomizador de 1 litro, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
55947,,LAZO-15,"Lazo para tendedero de polietileno de 15 m, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
55946,,LAZO-10,"Lazo para tendedero de polietileno de 10 m, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57007,,CELI-30,"Cepillo grande de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57006,,CELI-20,"Cepillo chico de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57023,,RECO-9,"Recogedor de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
55850,,BODE-6,"Bomba destapacaños de 15 cm, KLINTEK",KLINTEK,Artículos de limpieza para WC
55937,,ATO-50,"Atomizador de 1/2 litro, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57024,,RECO-11B,"Recogedor plástico con bastón de madera, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57029,,CESA-14,"Cepillo sanitario de plástico con base, KLINTEK",KLINTEK,Artículos de limpieza para WC
55961,,CUBE-8E,"Cubeta plástica con exprimidor, 8L KLINTEK",KLINTEK,"Artículos de limpieza / Jaladores, trapeadores, cubeta y letrero"
57065,,MIC-40,"Toalla de microfibra de 40 X 40 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
56030,,LIDE-94,"Líquido destapacaños de 1 L, KLINTEK",KLINTEK,Artículos de limpieza para WC
57028,,MIC-60,"Toalla de microfibra de 40 X 60 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57008,,CELI-35,"Cepillo tipo plancha de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
53040,,TAJE-60,"Tapete de jerga de 60 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
